jointmoment_id,session_trial,time,elbow_moment_x,elbow_moment_y,elbow_moment_z,shoulder_thorax_moment_x,shoulder_thorax_moment_y,shoulder_thorax_moment_z,shoulder_upper_arm_moment_x,shoulder_upper_arm_moment_y,shoulder_upper_arm_moment_z,wrist_moment_x,wrist_moment_y,wrist_moment_z,glove_elbow_moment_x,glove_elbow_moment_y,glove_elbow_moment_z,glove_shoulder_glove_upper_arm_moment_x,glove_shoulder_glove_upper_arm_moment_y,glove_shoulder_glove_upper_arm_moment_z,glove_shoulder_thorax_moment_x,glove_shoulder_thorax_moment_y,glove_shoulder_thorax_moment_z,glove_wrist_moment_x,glove_wrist_moment_y,glove_wrist_moment_z
2481246,498_1,0.0,-37.01,17.97,2.13,-69.08,-21.62,-8.16,-61.09,35.69,17.96,3.84,-6.75,0.34,-38.69,86.6,-5.2,-119.15,36.76,26.34,-66.9,-65.63,-86.07,19.91,-4.3,-1.63
2481247,498_1,0.0028,-20.41,4.6,1.51,-33.14,-14.7,-2.29,-31.76,17.42,4.57,0.81,-4.12,0.18,-21.63,50.75,-3.92,-63.72,22.7,17.8,-35.2,-33.12,-50.34,12.17,-2.36,-1.13
2481248,498_1,0.0055,-7.9,-4.87,0.92,-6.63,-9.18,1.91,-9.86,3.94,-4.91,-1.36,-2.09,0.07,-8.66,22.72,-2.84,-21.18,11.46,10.88,-11.02,-8.32,-22.41,6.11,-0.9,-0.73
2481249,498_1,0.0083,0.57,-10.56,0.39,10.75,-5.09,4.38,4.74,-5.02,-10.61,-2.7,-0.67,0.01,0.18,2.51,-1.96,8.47,3.08,5.59,5.66,8.76,-2.28,1.74,0.08,-0.42
2481250,498_1,0.0111,5.43,-12.98,-0.06,20.21,-2.36,5.25,12.87,-10.14,-13.04,-3.29,0.2,-0.01,5.25,-10.57,-1.26,26.43,-2.66,1.8,15.54,18.85,10.72,-1.11,0.6,-0.19
2481251,498_1,0.0139,7.35,-12.87,-0.41,23.47,-0.82,4.74,15.82,-12.38,-12.93,-3.3,0.63,0.0,7.16,-17.7,-0.7,34.71,-6.17,-0.73,19.83,23.15,17.79,-2.68,0.73,-0.04
2481252,498_1,0.0167,7.13,-11.07,-0.64,22.44,-0.22,3.2,15.08,-12.7,-11.12,-2.9,0.71,0.03,6.71,-20.28,-0.24,35.73,-7.89,-2.28,19.98,23.11,20.31,-3.29,0.56,0.07
2481253,498_1,0.0194,5.54,-8.36,-0.74,18.94,-0.28,1.04,12.09,-11.96,-8.39,-2.25,0.56,0.06,4.76,-19.74,0.13,31.94,-8.29,-3.16,17.46,20.18,19.72,-3.25,0.2,0.14
2481254,498_1,0.0222,3.27,-5.38,-0.73,14.44,-0.68,-1.33,8.17,-10.76,-5.4,-1.5,0.27,0.08,2.15,-17.39,0.47,25.62,-7.82,-3.59,13.6,15.74,17.3,-2.85,-0.25,0.2
2481255,498_1,0.025,0.87,-2.61,-0.63,10.03,-1.12,-3.51,4.33,-9.49,-2.6,-0.76,-0.06,0.09,-0.45,-14.26,0.77,18.58,-6.87,-3.76,9.47,10.92,14.12,-2.32,-0.7,0.24
